game_id,msrp_price_x,switch_date_x,publisher_x,download_size_x,meta_critic_x,user_score_x,usk_rating_x,languages_x,platforms_x,hltb_main_story,hltb_main_plus_extra,hltb_completionist,avg_score,lang_count,plat_count,success,genres,offline_players,local_wireless,online_players,developer,publisher_y,meta_critic_y,user_score_y,opencritic_score,usk_rating_y,play_modes,languages_y,platforms_y,title
heavenly-bodies,19.99,2024-02-29,2pt Interactive,2.026,75.0,7.0,0.0,"Japanese, English, Spanish, Portuguese, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 5, PlayStation 4, Xbox Series X|S, Xbox One, Steam",5.0,6.0,12.0,72.5,11,6,1,Action; Adventure; Simulation; Multiplayer,1 - 2,1 - 4,,2pt Interactive,2pt Interactive,75,7.0,73.0,0.0,"TV, Tabletop, Handheld","Japanese, English, Spanish, Portuguese, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 5, PlayStation 4, Xbox Series X|S, Xbox One, Steam",Heavenly Bodies
we-the-revolution,19.99,2019-06-25,Klabater,3.402,75.0,6.9,12.0,"English, French","Nintendo Switch, PlayStation 4, Xbox One, Steam",12.5,13.5,18.0,72.0,2,4,1,Strategy; Adventure; Puzzle; Simulation,1,,,Polyslash,Klabater,75,6.9,75.0,12.0,"TV, Tabletop, Handheld","English, French","Nintendo Switch, PlayStation 4, Xbox One, Steam",We. The Revolution
police-stories,14.99,2019-09-19,HYPETRAIN DIGITAL,0.431640625,75.0,6.9,16.0,"English, Spanish, French, German, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 4, Xbox One, Steam",5.0,7.0,11.0,72.0,8,4,1,Action; Simulation; Arcade,1 - 2,,,Mighty Morgan,HYPETRAIN DIGITAL,75,6.9,75.0,16.0,"TV, Tabletop, Handheld","English, Spanish, French, German, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 4, Xbox One, Steam",Police Stories
mario-kart-live-home-circuit,0.0,2020-10-16,Nintendo,1.967,75.0,6.9,0.0,"Japanese, English, Spanish, French, German, Italian, Dutch, Korean, Chinese (Simplified), Chinese (Traditional)",Nintendo Switch,4.0,7.0,17.0,72.0,10,1,1,Racing,1 - 4,2 - 4,,,Nintendo,75,6.9,74.0,0.0,"TV, Tabletop, Handheld","Japanese, English, Spanish, French, German, Italian, Dutch, Korean, Chinese (Simplified), Chinese (Traditional)",Nintendo Switch,Mario Kart Live: Home Circuit (Software)
cattails,14.99,2018-11-29,FalconDevelopment,0.1875,75.0,6.8,6.0,English,Nintendo Switch,15.0,30.5,56.5,71.5,1,1,1,Role-Playing; Simulation; Adventure,1,,,Falcon Development,FalconDevelopment,75,6.8,77.0,6.0,"TV, Tabletop, Handheld",English,Nintendo Switch,Cattails
convergence-a-league-of-legends-story,29.99,2023-05-23,Riot Forge,3.193,75.0,6.8,12.0,"Japanese, English, Spanish, Portuguese, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 5, PlayStation 4, Xbox Series X|S, Xbox One, Steam",7.5,9.0,11.5,71.5,11,6,1,Action; Platformer,1,,,Double Stallion Games,Riot Forge,75,6.8,80.0,12.0,"TV, Tabletop, Handheld","Japanese, English, Spanish, Portuguese, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 5, PlayStation 4, Xbox Series X|S, Xbox One, Steam",CONVERGENCE: A League of Legends Story
inked-a-tale-of-love,8.99,2021-08-26,Somnium Games,3.535,75.0,6.8,6.0,"Japanese, English, Portuguese, Spanish, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 4, Steam",2.5,4.0,5.0,71.5,11,3,1,Adventure; Puzzle,1,,,Somnium Games,Somnium Games,75,6.8,,6.0,"TV, Tabletop, Handheld","Japanese, English, Portuguese, Spanish, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 4, Steam",Inked: A Tale of Love
mind-path-to-thalamus,10.99,2018-12-27,Carlos Coronado,2.213,75.0,6.8,6.0,"Japanese, English, Spanish, French, German, Italian, Portuguese, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, Steam",4.0,5.5,7.5,71.5,11,2,1,Adventure; Puzzle; First-Person,1,,,Pantumaca Barcelona,Carlos Coronado,75,6.8,75.0,6.0,"TV, Tabletop, Handheld","Japanese, English, Spanish, French, German, Italian, Portuguese, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, Steam",MIND: Path to Thalamus
ayo-the-clown,16.5,2021-07-28,Cloud M1,3.646,75.0,6.8,6.0,"Japanese, English, Portuguese, Spanish, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 5, PlayStation 4, Xbox Series X|S, Xbox One, Steam",6.5,8.0,12.5,71.5,11,6,1,Platformer; Action; Adventure; Arcade,1,,,Cloud M1,Cloud M1,75,6.8,74.0,6.0,"TV, Handheld","Japanese, English, Portuguese, Spanish, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 5, PlayStation 4, Xbox Series X|S, Xbox One, Steam",Ayo the Clown
nidhogg-2,14.99,2018-11-22,Messhof,0.619140625,75.0,6.6,16.0,"Japanese, English, Spanish, French, German, Italian, Dutch, Portuguese, Russian, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 4, Xbox One, Steam",0.5,1.5,9.0,70.5,11,4,1,Fighting; Arcade; Action; Party,1 - 2,,2,Messhof,Messhof,75,6.6,77.0,16.0,"TV, Tabletop, Handheld","Japanese, English, Spanish, French, German, Italian, Dutch, Portuguese, Russian, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 4, Xbox One, Steam",Nidhogg 2
ak-xolotl,18.99,2023-09-15,Playstack,0.7724609375,75.0,6.6,16.0,"Japanese, English, Spanish, Portuguese, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 5, PlayStation 4, Xbox Series X|S, Xbox One, Steam",7.0,12.5,20.5,70.5,11,6,1,Action; Adventure,1,2,,2Awesome Studio,Playstack,75,6.6,69.0,16.0,"TV, Tabletop, Handheld","Japanese, English, Spanish, Portuguese, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 5, PlayStation 4, Xbox Series X|S, Xbox One, Steam",AK-xolotl
sparklite,24.99,2019-11-14,Silver Lining,1.647,75.0,6.5,6.0,"Japanese, English, Spanish, French, German, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 4, Xbox One, Steam",9.5,10.0,12.5,70.0,7,4,0,Action; Adventure,1 - 2,,,RedBlue Games,Silver Lining,75,6.5,72.0,6.0,"TV, Tabletop, Handheld","Japanese, English, Spanish, French, German, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 4, Xbox One, Steam",Sparklite
song-of-nunu-a-league-of-legends-story,29.99,2023-11-01,Riot Forge,11.928,75.0,6.5,6.0,"Japanese, English, Spanish, Portuguese, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 5, PlayStation 4, Xbox Series X|S, Xbox One, Steam",6.0,7.5,9.5,70.0,11,6,0,Adventure,1,,,Tequila Works,Riot Forge,75,6.5,75.0,6.0,"TV, Tabletop, Handheld","Japanese, English, Spanish, Portuguese, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 5, PlayStation 4, Xbox Series X|S, Xbox One, Steam",Song of Nunu: A League of Legends Story
cake-bash,19.99,2020-11-19,Coatsink Software,1.492,75.0,6.5,6.0,"Japanese, English, Portuguese, Spanish, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 4, Xbox One, Steam",1.0,4.0,5.5,70.0,11,4,0,Party; Multiplayer; Fighting; Arcade,1 - 4,,1 - 4,High Tea Frog,Coatsink Software,75,6.5,75.0,6.0,"TV, Tabletop, Handheld","Japanese, English, Portuguese, Spanish, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 4, Xbox One, Steam",Cake Bash
cursed-to-golf-switch,19.99,2022-08-18,Thunderful,1.752,75.0,6.4,6.0,"Japanese, English, Spanish, Portuguese, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 5, PlayStation 4, Xbox Series X|S, Xbox One, Steam",7.5,8.0,10.5,69.5,11,6,0,Arcade; Puzzle; Sports,1,,,Chuhai Labs,Thunderful,75,6.4,78.0,6.0,"TV, Tabletop, Handheld","Japanese, English, Spanish, Portuguese, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 5, PlayStation 4, Xbox Series X|S, Xbox One, Steam",Cursed to Golf
please-dont-touch-anything,9.99,2018-11-22,ForwardXP,0.3916015625,75.0,6.4,16.0,"Japanese, English, Portuguese, Spanish, French, German, Italian, Dutch, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 4, Xbox One, Steam",1.5,3.0,3.5,69.5,12,4,0,Puzzle,1,,,Four Quarters,ForwardXP,75,6.4,,16.0,"TV, Tabletop, Handheld","Japanese, English, Portuguese, Spanish, French, German, Italian, Dutch, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 4, Xbox One, Steam","Please, Don't Touch Anything"
trigger-witch,14.99,2021-07-29,eastasiasoft,1.155,75.0,8.8,16.0,"Japanese, English, Spanish, French, German, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 5, PlayStation 4, Xbox One, Steam",8.0,9.0,10.5,81.5,7,5,1,Action; Adventure,1 - 2,,,Rainbite,eastasiasoft,75,8.8,72.0,16.0,"TV, Tabletop, Handheld","Japanese, English, Spanish, French, German, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 5, PlayStation 4, Xbox One, Steam",Trigger Witch
yohane-the-parhelion-blaze-in-the-deepblue,29.99,2023-11-16,Inti Creates,0.7138671875,75.0,8.6,12.0,"Japanese, English, Portuguese, Spanish, French, German, Italian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 5, PlayStation 4, Xbox Series X|S, Xbox One, Steam",7.0,8.0,9.5,80.5,10,6,1,Action; Adventure,1,,,INTI CREATES,Inti Creates,75,8.6,71.0,12.0,"TV, Tabletop, Handheld","Japanese, English, Portuguese, Spanish, French, German, Italian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 5, PlayStation 4, Xbox Series X|S, Xbox One, Steam",YOHANE THE PARHELION -BLAZE in the DEEPBLUE-
blade-of-darkness,14.99,2022-11-24,QubicGames,1.487,75.0,8.4,18.0,"Japanese, English, Spanish, French, German, Italian, Portuguese, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 5, PlayStation 4, Xbox Series X|S, Xbox One, Steam",17.0,20.5,27.5,79.5,11,6,1,Action; Role-Playing; Adventure; Fighting,1,,,Rebel Act Studios; Fire Falcom,QubicGames,75,8.4,,18.0,"TV, Tabletop, Handheld","Japanese, English, Spanish, French, German, Italian, Portuguese, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 5, PlayStation 4, Xbox Series X|S, Xbox One, Steam",Blade of Darkness
streets-of-rogue,19.99,2019-07-12,tinyBuild Games,0.45703125,75.0,8.3,16.0,"English, Spanish, Portuguese, French, German, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 4, Xbox One, Steam",10.0,24.5,44.5,79.0,9,4,1,Action; Role-Playing; Multiplayer,1 - 4,,1 - 4,Matt Dabrowski,tinyBuild Games,75,8.3,81.0,16.0,"TV, Tabletop, Handheld","English, Spanish, Portuguese, French, German, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 4, Xbox One, Steam",Streets of Rogue
fear-the-spotlight,19.99,2024-10-22,Blumhouse Games,1.779,75.0,8.3,16.0,"Japanese, English, Spanish, Portuguese, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 5, PlayStation 4, Xbox Series X|S, Xbox One, Steam",3.0,4.5,6.5,79.0,11,6,1,Action; Adventure,1,,,Cozy Game Pals,Blumhouse Games,75,8.3,80.0,16.0,"TV, Tabletop, Handheld","Japanese, English, Spanish, Portuguese, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 5, PlayStation 4, Xbox Series X|S, Xbox One, Steam",Fear the Spotlight
warioware-move-it,49.99,2023-11-03,Nintendo,1.312,75.0,8.1,6.0,"Japanese, English, Spanish, French, German, Italian, Dutch, Korean, Chinese (Simplified), Chinese (Traditional)",Nintendo Switch,2.0,4.0,6.0,78.0,10,1,1,Action; Party,1 - 4,,,Nintendo,Nintendo,75,8.1,73.0,6.0,"TV, Tabletop","Japanese, English, Spanish, French, German, Italian, Dutch, Korean, Chinese (Simplified), Chinese (Traditional)",Nintendo Switch,WarioWare: Move It!
steel-assault,12.99,2021-09-28,Tribute Games,0.3310546875,75.0,8.1,12.0,"Japanese, English, Spanish, French, Portuguese, German, Italian, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 4, Xbox One, Steam",1.5,3.0,3.0,78.0,9,4,1,Platformer; Arcade; Action,1,,,Zenovia,Tribute Games,75,8.1,78.0,12.0,"TV, Tabletop, Handheld","Japanese, English, Spanish, French, Portuguese, German, Italian, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 4, Xbox One, Steam",Steel Assault
no-more-heroes-3,49.99,2021-08-27,Grasshopper Manufacture,8.105,75.0,8.0,18.0,"Japanese, English, Spanish, French, German, Italian, Dutch, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 5, PlayStation 4, Xbox Series X|S, Xbox One, Steam",12.0,16.5,28.5,77.5,10,6,1,Action,1,,,Grasshopper Manufacture,Grasshopper Manufacture,75,8.0,76.0,18.0,"TV, Tabletop, Handheld","Japanese, English, Spanish, French, German, Italian, Dutch, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 5, PlayStation 4, Xbox Series X|S, Xbox One, Steam",No More Heroes 3
shiren-the-wanderer-the-tower-of-fortune-and-the-dice-of-fate,19.99,2020-12-02,Spike Chunsoft US,0.5478515625,75.0,8.0,12.0,"Japanese, English, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, Steam",26.5,43.5,157.5,77.5,4,2,1,Role-Playing,1,,,Spike Chunsoft,Spike Chunsoft US,75,8.0,78.0,12.0,"TV, Tabletop, Handheld","Japanese, English, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, Steam",Shiren the Wanderer: The Tower of Fortune and the Dice of Fate
broken-sword-5-the-serpents-curse,29.99,2018-09-21,Revolution,5.301,75.0,8.0,12.0,"English, Spanish, French, German, Italian, Russian","Nintendo Switch, PlayStation 4, Xbox One, Steam",11.0,13.5,13.5,77.5,6,4,1,Adventure; Puzzle; Role-Playing,1,,,Revolution Software,Revolution,75,8.0,74.0,12.0,"TV, Tabletop, Handheld","English, Spanish, French, German, Italian, Russian","Nintendo Switch, PlayStation 4, Xbox One, Steam",Broken Sword 5 - the Serpent's Curse
railgrade-switch,28.99,2022-09-29,Minakata Dynamics,3.68,75.0,8.0,0.0,"Japanese, English, Portuguese, Spanish, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, Steam",39.0,70.5,98.0,77.5,11,2,1,Simulation; Strategy,1,,,Minakata Dynamics,Minakata Dynamics,75,8.0,79.0,0.0,"TV, Tabletop, Handheld","Japanese, English, Portuguese, Spanish, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, Steam",RAILGRADE
rollercoaster-tycoon-classic,24.99,2024-12-05,Atari,0.408203125,81.0,9.6,6.0,"English, Spanish, French, German, Italian","Nintendo Switch, Steam",18.5,325.0,430.0,88.5,5,2,1,Simulation,1,,,Graphite Lab,Atari,81,9.6,83.0,6.0,"TV, Tabletop, Handheld","English, Spanish, French, German, Italian","Nintendo Switch, Steam",RollerCoaster Tycoon Classic
witch-on-the-holy-night-switch,46.49,2022-12-07,Aniplex of America,19.944,81.0,8.8,16.0,"Japanese, English, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 4, Steam",24.0,27.0,33.5,84.5,4,3,1,Adventure,1,,,TYPE-MOON; Lasengle; Hunex,Aniplex of America,81,8.8,81.0,16.0,"TV, Tabletop, Handheld","Japanese, English, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 4, Steam",Witch on the Holy Night
persona-3-portable,19.99,2023-01-19,SEGA,7.142,81.0,8.7,12.0,"Japanese, English, Spanish, French, German, Italian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 4, Xbox Series X|S, Xbox One, Steam",64.5,81.0,123.5,84.0,9,5,1,Role-Playing,1,,,ATLUS,SEGA,81,8.7,81.0,12.0,"TV, Tabletop, Handheld","Japanese, English, Spanish, French, German, Italian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 4, Xbox Series X|S, Xbox One, Steam",Persona 3 Portable
winds-of-change,19.99,2021-06-03,Crunching Koalas,1.305,81.0,8.7,12.0,English,"Nintendo Switch, Steam",12.0,18.0,25.0,84.0,1,2,1,Adventure; Role-Playing,1,,,Klace,Crunching Koalas,81,8.7,75.0,12.0,"TV, Tabletop, Handheld",English,"Nintendo Switch, Steam",Winds Of Change
american-arcadia,19.5,2025-05-15,Raw Fury,4.816,81.0,8.6,12.0,"Japanese, English, Spanish, Portuguese, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 5, PlayStation 4, Xbox Series X|S, Xbox One, Steam",6.5,7.5,8.0,83.5,11,6,1,Adventure; Platformer; Action,1,,,Out of the Blue Games,Raw Fury,81,8.6,79.0,12.0,"TV, Tabletop, Handheld","Japanese, English, Spanish, Portuguese, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 5, PlayStation 4, Xbox Series X|S, Xbox One, Steam",American Arcadia
cassette-beasts,19.99,2023-05-25,Raw Fury,0.923828125,81.0,8.5,6.0,"Japanese, English, Spanish, Portuguese, French, German, Italian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, Xbox Series X|S, Xbox One, Steam",20.0,27.5,54.5,83.0,10,4,1,Role-Playing; Adventure; Strategy,1 - 2,,1 - 8,Bytten Studio,Raw Fury,81,8.5,85.0,6.0,"TV, Tabletop, Handheld","Japanese, English, Spanish, Portuguese, French, German, Italian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, Xbox Series X|S, Xbox One, Steam",Cassette Beasts
the-legend-of-heroes-trails-of-cold-steel-iv,59.99,2021-04-09,NIS America,10.656,81.0,8.5,12.0,English,"Nintendo Switch, PlayStation 5, PlayStation 4, Steam",61.0,103.0,135.5,83.0,1,4,1,Role-Playing; Action; Adventure,1,,,Falcom,NIS America,81,8.5,81.0,12.0,"TV, Tabletop, Handheld",English,"Nintendo Switch, PlayStation 5, PlayStation 4, Steam",The Legend of Heroes: Trails of Cold Steel IV
super-one-more-jump,5.59,2018-01-25,SMG Studio,0.1220703125,81.0,8.5,0.0,English,Nintendo Switch,6.0,8.0,9.5,83.0,1,1,1,Arcade; Platformer; Party,1 - 4,,,SMG Studio; Premo Games,SMG Studio,81,8.5,84.0,0.0,"TV, Tabletop, Handheld",English,Nintendo Switch,Super One More Jump
torchlight-2,19.99,2019-09-03,Arc Games,2.089,81.0,8.4,16.0,"Japanese, English, Spanish, French, German, Italian, Russian, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 4, Xbox One, Steam",20.5,29.5,80.0,82.5,9,4,1,Action; Adventure; Role-Playing; Multiplayer,1,1 - 4,1 - 4,Panic Button; Runic Games,Arc Games,81,8.4,83.0,16.0,"TV, Tabletop, Handheld","Japanese, English, Spanish, French, German, Italian, Russian, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 4, Xbox One, Steam",Torchlight II
yuppie-psycho-executive-edition,16.66,2020-10-29,Neon Doctrine,1.392,81.0,8.4,16.0,"Japanese, English, Spanish, French, Portuguese, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 4, Xbox One, Steam",8.5,11.5,18.5,82.5,11,4,1,Adventure,1,,,Baroque Decay,Neon Doctrine,81,8.4,,16.0,"TV, Tabletop, Handheld","Japanese, English, Spanish, French, Portuguese, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 4, Xbox One, Steam",Yuppie Psycho: Executive Edition
finding-paradise,11.99,2022-11-17,X.D. Network,2.381,81.0,8.4,6.0,"Japanese, English, Spanish, Portuguese, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, Steam",5.0,5.5,5.5,82.5,11,2,1,Role-Playing; Adventure; Puzzle,1,,,Freebird Games,X.D. Network,81,8.4,86.0,6.0,"TV, Tabletop, Handheld","Japanese, English, Spanish, Portuguese, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, Steam",Finding Paradise
